,title,company,salary,location,jobtype,qualifications,benefits,description
1122,Senior Data Engineer,Underdog Fantasy,"$120,000 - $160,000 a yearQuick Apply","Brooklyn, NY ",,,,You'll work closely with our product data analysts to determine appropriate data models for the company's requirements. 16 weeks of fully paid parental leave.
1123,Principal Data Engineer - Fully Remote - GCP,Michael Page,"$150,000 - $180,000 a year","Miami, FL ",,,,"Help design, develop and implement end to end data solutions such as storage, integration and processing in GCP. Proficient using Python and SQL."
1124,BI Data Engineer REMOTE,MATRIX Resources,"Estimated: $110,000 - $150,000 a yearQuick Apply","Little Chute, WI ",Full-time,"Power BI
Relational databases
Azure
SQL
Microsoft Excel
Bachelor's degree","Health savings account
Dental insurance
Health insurance
401(k)
401(k) matching","They will design, build, and integrate data from various resources and manage big data. Review customer sources to ensure integrity of the data collection…"
1125,Remote Data Engineer,Michael Page,"$140,000 - $170,000 a year","Chicago, IL ",,,,Build and maintain automated data pipelines to standardize data collection. Have experience developing data pipelines using Airflow.
1126,Big Data Engineer,"Definitive Healthcare, LLC","Estimated: $100,000 - $140,000 a yearQuick Apply","Framingham, MA ",,,,Contributes significantly to architectural decisions around our data. Data modeling and processing fundamentals with large-scale (> 50B rows) data.
1127,"Software Development Engineer II, Networking Data Systems","Amazon Data Services, Inc.",,Remote ,Full-time,"Full-stack development
Design patterns
System design
Service-oriented architecture
Distributed systems
Bachelor's degree",Health insurance,"1+ years of experience contributing to the system design or architecture (architecture, design patterns, reliability and scaling) of new and current systems."
1128,"Software Engineer - Data, ML",Cisco Talos Intelligence Group,"Estimated: $87,000 - $120,000 a year",Remote ,,,,"Big data tools (Elasticsearch/ELK, HBase). Good pattern recognition: identifying and anticipating new threats. Experience with AWS, K8’s, and/or Airflow."
1129,Data Visualization Engineer,Planet DDS,"Estimated: $90,000 - $120,000 a yearQuick Apply",Remote ,Full-time,"Web development
Power BI
Information management
CSS
SQL
Doctor of Dentistry
Bachelor's degree
Doctoral degree",,"Proficiency in data prep, data modeling, and data visualization. Design and develop compelling data visualizations via a variety of techniques including data…"
1130,IT Business Intelligence and Data Engineer (NC12),Resource Management Associates LLC.,$58 - $63 an hourQuick Apply,"Raleigh, NC ",Full-time | Temporary | Contract,"Power BI
SQL
SSIS
Python
Data warehouse
US work authorization",,The ideal candidate will provide providing senior level data analysis and development of solutions that transform data into actionable and consumable…
1131,Data Engineer,OTG Management,"Estimated: $96,000 - $120,000 a year","New York, NY ",,,,"Leads the in-house development of ETL/ELT data pipelines and data science projects. Previous examples of working with ""real-world"" data and building data…"
1132,Data Scientist / Software Engineer (Access Controls),Tesla,,"Palo Alto, CA ",Full-time,"SQL
Sensors
MATLAB
DevOps
Communication skills",,"Build data pipelines to promote your ad-hoc data analyses into production dashboards that engineers can rely on. Strong proficiency in Python, SQL."
1133,Sr. Big Data Engineer,Alexander Technology Group,"$155,000 a year","Framingham, MA ",,,,Contributes significantly to architectural decisions around our data. Can deliver high-quality data solutions with minimal supervision.
1134,Data Science Engineer I,GSK,"Estimated: $88,000 - $110,000 a year","Collegeville, PA +1 location",,,,"Experience in manipulating data in a big data environment – experience with hive, SQL, and the like would be helpful."
1135,Data Engineer II,Bank of America,"Estimated: $100,000 - $130,000 a year","Charlotte, NC +1 location",Full-time,"SQL
Hadoop
Apache Hive
SSRS
Python",Referral program,"Implement data models and database designs, data access and table maintenance codes. Resolve database performance, database capacity and other distributed data…"
1136,Data Engineer II,Openly,"Estimated: $92,000 - $130,000 a yearQuick Apply",Remote ,Full-time,"SQL
Data visualization
Go
Slack
ArcGIS
US work authorization","Dental insurance
Health insurance
401(k)
Flexible spending account
Disability insurance",Experience with Google Cloud data store and data orchestration technologies. 1 to 2 years of data engineering and data management experience.
1137,"Sr. Manager, Clinical Data Standards/ Data Quality Engineer - Remote US",Takeda Pharmaceutical,"$130,200 - $186,000 a year","Boston, MA ",Full-time,"Microsoft Excel
Microsoft Powerpoint
Microsoft Office
Organizational skills
Microsoft Access
Bachelor's degree","Dental insurance
Health insurance
401(k)
401(k) matching
Tuition reimbursement","The Clinical Data Standards team provides the standards for clinical data operation and ensures consistency to standards in Takeda’s data flow, and the Clinical…"
1138,Data Engineer TD&R (Remote),Cisco Systems,,"San Francisco, CA ",,,,Work closely with data architects to implement a data platform that increases the speed to market of data insights.
1139,Data Engineer (Data Science / Business Analytics) (Project 2025),Universal Orlando Resort,,"Orlando, FL ",Full-time,"Software deployment
SQL
PostgreSQL
Machine learning
Python
Bachelor's degree
Master's degree",,"Engage with internal business partners to gather requirements and collaborate with IT technology data engineers, architects, and data scientists to build a…"
1140,Data Cloud Engineer,General Dynamics,"Estimated: $110,000 - $150,000 a year","Arnold, MO ",Full-time,"Distributed control systems
System design
Virtualization
Bachelor of Science
Bachelor's degree
Current immunizations
Pass polygraph test",,"Clearance Level Must Be Able to Obtain: Top Secret SCI + Polygraph. Assignments may be broad in nature, requiring originality and innovation in determining how…"
1141,Sr Data Engineer,TalentoHCM,"Estimated: $88,000 - $110,000 a yearQuick Apply","Deerfield Beach, FL ",,,,Design alongside a team of engineers focusing on 'data first' thinking while incorporating different end user experiences.
1142,ETL Engineer / Data Analyst,"Yoh, A Day & Zimmermann Company",Quick Apply,"Wichita, KS ",Contract,"Human resources
Analytics
Workday
Python
ETL",,"Building, testing, running, and maintaining ETL pipelines that merge data from multiple HR Systems (Workday and Cornerstone), reviewing data requirements and…"
1143,Sr. Data Analytics Engineer - SQL - Remote,"Harbor Freight Tools USA, Inc.",,"Calabasas, CA ",,,,Design and develop architecture and data integrity constraints with data infrastructure engineers to ensure the data collection pipeline and data analysis…
1144,Data Analytics Engineer (Remote Home-Based Worker),Allstate,"$95,000 - $105,000 a year",Remote ,2 days ago,"SQL
Database development
UNIX
Communication skills
Scala
Bachelor's degree
Pass drug screening","Dental insurance
Health insurance
401(k)
Internet reimbursement
Tuition reimbursement","Ability to extract data from various data sources. Participate in the development of enterprise data assets, information platforms or data spaces designed for…"
1145,Data Operations Engineer III,Thermo Fisher Scientific,,Massachusetts +6 locations,Full-time,"Problem management
Continuous integration
Jenkins
Jira
Microservices
Bachelor's degree",,"Ability to understand and derive insights from data. As Data Operations Engineer, you will be working with Data Engineers, DevOps engineers, business analysts…"
1146,GCP Data Engineer,Freemind solutions,$45 - $50 an hourQuick Apply,Remote ,Contract,"Big data
Google Cloud Platform
ETL
Service-oriented architecture
US work authorization",,"Application functionality used to maintain data integrity. Relevant Big Data engineering problems and interact with top-caliber software engineers,."
1147,Senior Data Integration Engineer,Doximity,"Estimated: $110,000 - $140,000 a year","Nashville, TN ",,,,Collaborate with product managers and data engineers to develop data pipelines with the goal of creating or improving products through the use of our data.
1148,Data Engineer,CyberCoders,"$120,000 - $160,000 a yearQuick Apply","Monroe, MI ",Full-time,"Spark
NoSQL
Hadoop
Python
Big data
Bachelor's degree
US work authorization","Dental insurance
Health insurance
Paid time off
401(k)
Paid sick time",Experience with big data analytics and data migration. Working in the cloud with big data and IoT products. Work through complex data problems and find creative…
1149,Senior Data Engineer (AI/ML),CNA Insurance,"Estimated: $120,000 - $150,000 a year","Chicago, IL ",Full-time,"Relational databases
Data modeling
SQL
NoSQL
CNA
Bachelor's degree",,"Participate in design and building of data solutions and applications that enable reporting, analytics, data science, and data management."
1150,Principal Software Engineer - Data Access & Security - Product Technology Team,Indeed,"$167,000 - $243,000 a year",United States ,Full-time,"SSL
Go
C++
Communication skills
Scala","Unlimited paid time off
Paid time off",The Data Access team is a new team at Indeed which is responsible for building systems that administer and enforce Indeed’s access policies over hundreds of…
1151,Data Engineer,Newsela,"Estimated: $98,000 - $130,000 a yearQuick Apply","Chicago, IL ",3 days ago,"Analysis skills
SQL
APIs
Python
Teaching",,"You'll be working alongside data analysts and data scientists, who are investigating and answering strategic questions that will impact the marketing strategy."
1152,"Senior Software Engineer, Data Platform",Anomalo,"Estimated: $130,000 - $190,000 a year","San Francisco, CA ",,,,"Because of this, companies spend more time dealing with issues in their data rather than unlocking that data's value."
1153,AWS Data Engineer [remote],International Flavors & Fragrances,"Estimated: $93,000 - $130,000 a year","Union Beach, NJ ",,,,Work on data science and other innovative use cases across various manufacturing plants and R&D facilities. Successful record of designing and building creative…
1154,Data Engineer,UnitedHealthcare,"$60,000 - $106,700 a year","Las Vegas, NV ",Full-time,"Cognos
Relational databases
SQL
Microsoft Excel
Business intelligence
Bachelor's degree
Pass drug screening
Current immunizations","Employee discount
Health insurance
AD&D insurance
Referral program
401(k)","Troubleshoots data integrity issues, analyzes data for completeness to meet business needs, and proposes documented solution recommendations."
1155,Engineering- Data Science and Machine Learning- Senior Machine Learning Engineer,Goldman Sachs,"Estimated: $130,000 - $170,000 a year","New York, NY ",,,,The financial industry thrives on data driven decision making. Experience working closely with data scientists and appreciation for their unique workflow.
1156,Data Engineer (Research),Jellyfish,"Estimated: $84,000 - $120,000 a yearQuick Apply","Boston, MA ",,,,"Proven experience in data engineering, database administration, data pipeline development, or building data platforms. You are a strong programmer."
1157,Data Integration Engineer,Eteam Infoservices Private Limited,"Estimated: $110,000 - $150,000 a yearQuick Apply","Kent, WA ",Full-time | Contract,"Bash
Analysis skills
Manufacturing
Design patterns
SQL
Bachelor's degree
Master's degree
US work authorization",Referral program,"Collaborate with product managers, customers, data owners and engineers to develop data pipelines with the goal of deliver value through data integrations."
1158,Data Analytics Engineer (ONSITE),ClientSolv Technologies,$40 - $57 an hourQuick Apply,"Littleton, CO ",Full-time | Contract,"Analysis skills
SQL
Tableau
Control-M
Data analytics
Bachelor's degree",,Experience in data management and engineering capabilities. Experience building and maintaining data catalog with dictionary. AWS knowledge is a plus.
1159,Cloud Data Engineer,Robert Half,"$110,000 - $150,000 a yearQuick Apply","Boston, MA ",Full-time,"Data modeling
Azure
SQL
Spark
Apache Hive
Bachelor's degree
US work authorization",,Experience analyzing data for data quality and supporting the use of data in an enterprise setting. Experience with Snowflake data solutions highly desired.
1160,AWS Data Engineer,Techskills,"Estimated: $100,000 - $140,000 a yearQuick Apply",Remote ,Contract,"SQL
Apache Hive
Informatica
Hadoop
Python
US work authorization",,"Hi, *Job Role : * *AWS Data Engineer* *Location : 100% Remote * *Duration : 12+ months * *Detailed Job Description* · Hadoop python pyspark · Hive ·…"
1161,Senior Data Science Engineer,When I Work,"Estimated: $98,000 - $140,000 a yearQuick Apply","Minneapolis, MN ",Full-time,"Elasticsearch
DynamoDB
SQL
NoSQL
GitHub
US work authorization","Dental insurance
Health insurance
401(k)
401(k) matching
Paid time off",You are eager to use data to solve business problems and guide data-driven decision making across an entire organization. You have advanced SQL skills.
1162,Data Engineer,SYSUSA,"Estimated: $110,000 - $150,000 a yearQuick Apply",Remote ,Full-time,"Spark
Hadoop
Machine learning
Kubernetes
Google Cloud Platform
Doctoral degree
Bachelor's degree
Master's degree
Doctor of Philosophy
US work authorization","Dental insurance
Health insurance
Paid time off
401(k)
Vision insurance",Experience with data integration and migration projects; ETL/data integration tools. You will be extracting the data from Digital Twin or proprietary data…
1163,Enterprise Data Warehouse Data Engineer,Access to future,$45 an hourQuick Apply,Remote ,Contract,"Perl
Data modeling
SQL
Communication skills
Agile
Bachelor's degree",,"The EDW Data Engineer II builds and maintains a data pipeline infrastructure for optimal extraction, transformation, and loading of data from a wide variety of…"
1164,Sr. Data Engineer - AI/ML,Stanford Health Care,,"Palo Alto, CA ",Full-time,"Software deployment
SQL
SaaS
CI/CD
Analytics
Bachelor's degree
Master's degree",,"Experience working with healthcare data. Elucidating these requirements will require training, developing, and validating researcher-built or vendor provided…"
1165,Junior Data Engineer,Brooksource,$30 - $36 an hourQuick Apply,"Plano, TX ",Full-time,"Data modeling
Azure
SQL
Data collection
Scala
Bachelor's degree
US work authorization","Dental insurance
Health insurance
401(k)
Vision insurance",As the Junior Data Engineer you will work with a team of data engineers to build data pipelines and develop large & complex data applications into public cloud…
1166,Data Center M&E Technician (12 Hour Overnight Shift) - Stationary Engineer,CBRE,$31.25 an hour,"Boulder, CO ",Full-time,"Stationary Engineer's License
Analysis skills
Microsoft Excel
CMMS
Mechanical knowledge
High school diploma or GED",,This role utilizes advance skills to perform preventative maintenance and corrective repairs in a Data Center operation.
1167,Sr Data Engineer,VENUS GEO SOLUTIONS PRIVATE LIMITED,"Estimated: $120,000 - $150,000 a yearQuick Apply",Remote ,Contract,"SQL
System design
Python
S3
REST
Bachelor of Science
Bachelor's degree
Master's degree
US work authorization",,. Design data systems that allow managed growth of the data model to minimize risk and. . 3 years of experience building cloud scalable and high-performance…
1168,Data Engineer,HawkEye 360,"Estimated: $120,000 - $160,000 a yearQuick Apply","Herndon, VA ",Full-time,"Relational databases
GraphQL
SciPy
FPGA
C++
Bachelor of Science
Bachelor's degree
US work authorization","Health savings account
Dental insurance
Professional development assistance
Referral program
401(k)","As a data engineer on the Processing team, you will be responsible for implementing distributed, reliable backend software systems to consume and leverage RF…"
1169,Lead Data Engineer,CareFirst BlueCross BlueShield,"Estimated: $110,000 - $140,000 a yearQuick Apply","Reston, VA ",Full-time,US work authorization,,"Actual salary will be based on relevant job experience and work history. Note: The incumbent is required to immediately disclose any debarment, exclusion, or…"
1170,Data & Reporting Engineer,Ren,"$65,000 - $125,000 a yearQuick Apply",Remote ,,,,The Data and Reporting Engineer (DRE) is an integral part of the Professional Services team. The DRE will work closely with the Integration Engineer to…
1171,Senior Data Engineer,People Data Labs,"Estimated: $160,000 - $210,000 a yearQuick Apply","San Francisco, CA ",,,,Experience working with entity data specifically (as opposed to event/web data). Devising solutions to largely-undefined data engineering and data science…
1172,Data Integration Engineer,Maximon,"Estimated: $110,000 - $140,000 a yearQuick Apply","New York, NY ",,,,"Maintain an integration architecture that acquires personalized health data from a variety of sources. Ensure the integrity, reliability, and security of the…"
1173,Sr Data Engineer,The Walt Disney Company (Corporate),"Estimated: $98,000 - $140,000 a year","Lake Buena Vista, FL +2 locations",,,,"The work will involve various data engineering activities such as data acquisition and validation, designing and implementing ETL/ELT data pipelines, and…"
1174,Lead Data Engineer,Brooksource,"$120,000 - $135,000 a yearQuick Apply","Indianapolis, IN ",Full-time,"Power BI
Confluence
Data modeling
SQL
Tableau
Bachelor's degree
Bachelor of Arts
US work authorization","Dental insurance
Health insurance
Paid time off
Flexible schedule
401(k)",Building integrations with data sources to ingest data in the central data lake using various technologies. Experience with data processing using Python.
1175,SQL Data Engineer,Apex Systems,Quick Apply,"Edina, MN ",Contract,"SQL
Visual Studio
SSIS
SSRS
SQL Server Management Studio",,Duration: 6M contract with potential to hire full time. Work hours (ex. 9am-5pm day/night shifts rotating shifts etc)? Decommission and archive unused services.
1176,Cloud Data Engineer,Robert Half,"$110,000 - $150,000 a yearQuick Apply","Boston, MA ",Full-time,"Data modeling
Azure
SQL
Spark
Apache Hive
Bachelor's degree
US work authorization",,Experience analyzing data for data quality and supporting the use of data in an enterprise setting. Experience with Snowflake data solutions highly desired.
1177,Staff Data Engineer,Machinify,"Estimated: $140,000 - $190,000 a yearQuick Apply",Remote ,Full-time,"SQL
Natural language processing
Communication skills
Enterprise software
ETL
Master's degree","Unlimited paid time off
Dental insurance
Health insurance
401(k)
Vision insurance","Strong data technical background as evidenced by prior experience as a hands-on data/ETL engineer. Familiarity with frameworks and protocols for data transfer,…"
1178,Big Data Engineer,Spectrum Talent Management,$45 - $55 an hourQuick Apply,"Atlanta, GA +1 location",Contract,"Hadoop
Spark
AWS
ETL",,The recommendation should be based on data retention policies and usage patterns. Migrate data pipelines hosted on the on-prem Spark cluster to AWS.
1179,Data Engineer,Noetic Strategies Inc.,"Estimated: $100,000 - $130,000 a yearQuick Apply","Scott AFB, IL ",Full-time,"Data modeling
SQL
Communication skills
Machine learning
Python
Bachelor of Science
Bachelor's degree",,Develop and build relationships with other data engineers developing similar tools and products. Prepare data for predictive and prescriptive modeling.
1180,Data Science Software Engineer,Evans & Chambers Technology,"Estimated: $120,000 - $170,000 a yearQuick Apply","Reston, VA ",Full-time,"Jenkins
Jira
GitHub
AWS
Bachelor's degree
Pass polygraph test",,"The team of Software & Cloud Engineers will provide the cloud environment(s), data storage, data security, and data brokerage services for this Data Office."
1181,"Data Engineer (DATAE022554) ""Remote""",Simmons Foods,"Estimated: $85,000 - $120,000 a yearQuick Apply",Remote ,Full-time,"Operating systems
Data modeling
SQL
Data collection
Informatica
Bachelor's degree
US work authorization",,"Provides a logical data model as a standard for the source and for consuming applications to inherit, with elements and business rules needed for the creation…"
1182,Principal - Data Engineer,Ally Financial,"Estimated: $100,000 - $140,000 a year","Detroit, MI ",Full-time,"SQL
Shell Scripting
Scrum
UNIX
DevOps","Health savings account
Employee discount
Health insurance
Volunteer time off
401(k)","The warehouse contains the data, historical & transactional, for several up-stream applications. The incumbent will be a part of the engineering team that…"
1183,Principal Data Engineer,CNA Insurance,"Estimated: $130,000 - $190,000 a year",Remote ,Full-time,"Relational databases
Data modeling
SQL
NoSQL
CNA
Bachelor's degree
Master's degree",,"Leads the design and building of data solutions and applications that enable reporting, analytics, data science, and data management."
1184,Sr Software Data Mobility Engineer (C/Python/Linux/Lua),Michael Page,"$140,000 - $170,000 a yearQuick Apply","Boston, MA ",2 days ago,"Lua
Go
C++
C
Python
Bachelor of Science
Bachelor's degree","Dental insurance
Health insurance
Paid time off
Flexible schedule
Vision insurance",Development and performance scaling along with product design. Improving current products and integrating 3rd party products into the companys ecosystem.
1185,Data Engineer,Airbus Americas,"Estimated: $84,000 - $110,000 a yearQuick Apply","Atlanta, GA ",Full-time,"Project management
Spark
Communication skills
R
Python
Bachelor's degree
US work authorization",Relocation assistance,Previous experience as a big data engineer. We are looking to hire a talented big data engineer to develop and manage our company's Big Data solutions on Airbus…
1186,Software Engineer - Data Infrastructure,Resonance AI,"Estimated: $110,000 - $160,000 a year","San Francisco, CA ",Full-time,"Leadership
SQL
Python
Redshift
AWS",,"Experience designing, implementing, and maintaining data systems or tools. Familiarity with gathering feedback and working with customers of data or tools."
1187,Data Engineer,Edrstaffing,"$120,000 - $170,000 a yearQuick Apply","Bridgewater, NJ +1 location",Full-time,"Project management
Power BI
Confluence
Relational databases
Azure
Bachelor's degree",,"Relevant cloud certifications (AWS, Azure, Snowflake, IICS) are a plus • Experience on working within compliance (e.g.: quality, regulatory - data privacy , GxP…"
1188,Data Engineer 3 (Hybrid: GA 30092 ) W2 Only,Intuitive,$60.70 - $70.70 an hourQuick Apply,"Peachtree Corners, GA ",Temporary | Contract,"Communication skills
SQL
Machine learning
Python
Tableau",,"Develops technical tools and programming that leverage artificial intelligence, machine learning and big-data techniques to cleanse, organize and transform data…"
1189,Senior Data Engineer,Underdog Fantasy,"$120,000 - $160,000 a yearQuick Apply","Brooklyn, NY ",,,,You'll work closely with our product data analysts to determine appropriate data models for the company's requirements. 16 weeks of fully paid parental leave.
1190,AWS Data Engineer,Callibus,"Estimated: $110,000 - $150,000 a yearQuick Apply","New York, NY ",Full-time,"DynamoDB
Data governance
Python
AWS
S3",,"*Job Title: *AWS Data Engineer *Location: * New York, NY *Duration: * Full Time *Job Description: * * Total 8+ years of experience. * Extensive Hands-on…"
1191,Sr. Big Data Engineer,Alexander Technology Group,"$155,000 a year","Framingham, MA ",,,,Contributes significantly to architectural decisions around our data. Can deliver high-quality data solutions with minimal supervision.
1192,IT Data Engineer IV,Brookdale Corporate - Nashville,,"Brentwood, TN ",Full-time,"SQL
Microsoft Excel
Communication skills
Visio
APIs
Bachelor's degree","Health insurance
Pet insurance
Tuition reimbursement
Retirement plan
Life insurance","Conceptualizes, develops and owns the data architecture, data pipelines and centralized data warehouse with trustworthy datasets. On-Call on an as needed basis."
1193,Senior Data Engineer,Brooksource,$60 an hourQuick Apply,Remote ,Contract,"Power BI
Azure
SQL
Tableau
NoSQL
Bachelor's degree
Master's degree","Dental insurance
Health insurance
Vision insurance",The Data Engineer is responsible for creating and optimizing data and data pipeline architecture as well as optimizing data flow and collection.
1194,Data Engineer,HSK IT Solutions India Pvt. Ltd.,$55 - $60 an hourQuick Apply,"Jersey City, NJ ",Contract,"Spring
Spring Boot
Scala
SQL
Hadoop
US work authorization",,"1) Java, 2) Spring boot, 3) Hadoop, 4) Spark, 5) Scala, 6) Big Data, 7) Python. Job Type: Contract Salary: $55.00 - $60.00 per hour Ability to commute…"
1195,Data Engineer (TS/SCI),"Galaxy Management Group, Inc.","$175,000 - $250,000 a year","Fayetteville, NC ",Full-time,"TypeScript
Pandas
Military
Communication skills
Hadoop
Bachelor of Science
Bachelor's degree",,"Data Engineer Location: Fort Belvoir, VA and Fort Bragg, NC Job Description * Serves as Data Engineer Rep to Army Data Scientist and Knowledge Managers *…"
1196,Backend Engineer - Data & Machine Learning Platform,Motive,"Estimated: $130,000 - $180,000 a yearQuick Apply","San Francisco, CA ",,,,"Who We Are Motive builds technology to improve the safety, productivity, and profitability of businesses that power the physical economy. The Motive…"
1197,Senior Big Data Engineer,FlexIT Inc,"Estimated: $100,000 - $130,000 a yearQuick Apply","Beaverton, OR ",Full-time,,,"We’re looking to expand our Big Data Engineering team to keep pace. As a Sr. Big Data Engineer, you will work with a variety of talented teammates and be a…"
1198,Senior Data Engineer,Ensemble Health Partners,,Remote ,Full-time,APIs,"Paid time off
401(k)
Health insurance
Tuition reimbursement",Thank you for considering a career at Ensemble Health Partners! Ensemble Health Partners is a leading provider of technology-enabled revenue cycle management…
1199,Data Engineer,Buchanan & Edwards,"Estimated: $100,000 - $140,000 a yearQuick Apply","Washington, DC ",Full-time,"Software deployment
Confluence
SQL
Jira
Spark
Bachelor's degree",,"Experience working with both structured, semi-structured, and unstructured data to include data parsing, transformation, schema definition, and query/analysis."
1200,Data Analytics Engineer Academic Hospital -Remote,J. Morrissey,"$120,000 - $125,000 a yearQuick Apply",Connecticut ,Full-time,"Relational databases
SQL
Tableau
Database development
SSIS
Bachelor's degree
Master's degree",Health insurance,"The Data architects design relational and dimensional data models. Prepares projects for documentation, and support of business intelligence solutions from Epic…"
1201,AR/VR Data Infrastructure Engineer,"Ursus, Inc.","Estimated: $110,000 - $150,000 a yearQuick Apply","Seattle, WA ",Contract,"SQL
SAS
Data visualization
MATLAB
Hadoop
Bachelor of Science
Bachelor's degree",,Establish standards around data formatting and requirements. 5+ years experience in data visualization tools (e.g. Tableau).
1202,Azure Data Engineer (C2C FINE),THOUGHTWAVE SOFTWARE SOLUTIONS,$60 - $65 an hourQuick Apply,Remote ,Contract,"Power BI
Data modeling
Azure
SQL
Scrum
Bachelor's degree",,"*Role: Azure Data Engineer (*USC, GC, GC-EAD ONLY) *Duration: Contract to Hire * *Months - 6 months Remote – Relocate and convert as FTE after 6 months to…"
1203,Data Scientist / Machine Learning Engineer,Bright Apps LLC,"Estimated: $120,000 - $170,000 a year","San Francisco Bay Area, CA ",Full-time,"PyTorch
NumPy
Pandas
SciPy
Presentation skills",,"Job purpose Bright Apps LLC is seeking a driven, creative, inquisitive, and focused Data Scientist to join our team. This role will support Bright Apps LLC,…"
1204,Data Engineer,Waymark,"Estimated: $120,000 - $160,000 a yearQuick Apply","San Francisco, CA ",,,,"Waymark is a team of healthcare providers, technologists, and builders whose mission is to bring the best healthcare to people with Medicaid benefits. Guided…"
1205,Data Engineer,APT College,Quick Apply,"New York, NY ",Full-time,"Project management
SQL
Microsoft Excel
Business intelligence
APIs
Bachelor's degree
US work authorization","Dental insurance
Health insurance
Paid time off
401(k)
Vision insurance",The world's largest provider of commercial finance to the legal sector seeks a Data Engineer. Responsibilities: * Data Platform Administration and…
1206,Senior Data Storage Engineer (Remote),Grindstone,"Estimated: $99,000 - $130,000 a yearQuick Apply",Remote ,Full-time,"Unity
SAN
Bachelor's degree
US work authorization",,"Grindstone is an innovative, Minority Owned Small Business specializing in providing cutting-edge solutions to businesses and government agencies in the Mid…"
1207,Data Infrastructure Engineer,IEX Group,"Estimated: $130,000 - $170,000 a yearQuick Apply","New York, NY ",,,,"Build complex data solutions from scratch. 5-10 years of data engineering. Perform data maintenance, backup and security checks. 5+ years of KDB+/Q."
1208,Experienced Data Engineer,Liberty Mutual Insurance,"$97,700 - $155,200 a year","Dover, NH ",,,,Improve speed to market by focusing on current data needs as well as building out the long-term strategic data solutions. Mentor new and junior developers.
1209,"Sr. Software Engineer, Data Warehousing",Blizzard Entertainment,"Estimated: $120,000 - $180,000 a year","Irvine, CA ",,,,"Experience with data warehousing concepts, such as normal forms, star and snowflake schemas and feel comfortable modeling complex data designs and…"
1210,Data Engineer,PACCAR,"Estimated: $88,000 - $120,000 a year","Bellevue, WA ",Full-time,"Elasticsearch
DynamoDB
Design patterns
Data modeling
SQL
Bachelor's degree",,"We build data pipelines, manage a data warehouse, and support the production use of our data. Build data pipelines (including data migration from legacy data…"
1211,Lead Data Engineer - High Performance Stream Computing (Full-Time Remote or Hybrid),TARGET,"Estimated: $120,000 - $160,000 a year","Sunnyvale, CA ",Full-time,"Redis
Lua
Git
Go
C++
Master's degree",,"We enable teams at Target to stream, filter, transform, and analyze telemetry data in real-time, and provide tools for engineers to analyze and act on their…"
1212,Data Engineer - Database Engineer - ETL - 24719,Infinite Computing Systems,$64 - $65 an hourQuick Apply,"Columbus, OH ",Full-time | Contract,"Analysis skills
Informatica
Alteryx
Data analytics
Database marketing
Bachelor's degree
US work authorization",,"Working with marketing or data analyst EXP. Modern cloud, big data platforms: 1 year (Required). Top 3 skill sets- *ETL tools, data engineering, database Exp-…"
1213,AWS Big Data Engineers || REMOTE || Long term Contract,Valsatech Corp,$50 - $65 an hourQuick Apply,Remote ,Full-time | Contract,"SQL
Python
AWS
Git
ETL",,This is regarding to a position of a AWS Data Engineer. NO H1b and Rest visa are fine. AWS/ EMR/ Glue/ Big Data Tools/Python and SQL*.
1214,Azure Data Engineer - USC/GC - Must have pharma data experience,Communications Advertising for Bull City,$80 - $85 an hourQuick Apply,Remote ,Full-time | Contract,"Azure
SQL
Spark
Cloud architecture
DevOps
US work authorization",,"The role involves supporting high-profile strategic and operational initiatives by building, monitoring, and maintaining the solutions that support short and…"
1215,Cloud Data Engineer,DatasysAmerica,$58.01 - $65.00 an hourQuick Apply,"Trenton, NJ ",Full-time | Contract,"Relational databases
Azure
SQL
NoSQL
PostgreSQL
US work authorization",,"Experience building and optimizing ‘big data’ data pipelines, architectures, and data sets. Working knowledge of message queuing, stream processing, and highly…"
1216,Sentinel (GBSD) Systems Engineer 2 -Wing Data Simulator – 677-1 & 4356-1,Northrop Grumman,"$74,900 - $112,300 a year","Colorado Springs, CO ",Full-time,"Requirements management
Scrum
DevOps
Agile
Systems engineering
Bachelor of Science
Bachelor's degree
Master's degree","Dental insurance
Employee discount
Health insurance
Employee assistance program
Disability insurance","Shift: 1st Shift (United States of America). Travel Required: Yes, 10% of the Time. This role may offer a competitive relocation assistance package."
1217,"Sr. Engineer, Data Engineering and Operations",Comcast,,"Philadelphia, PA ",Full-time,"SQL
Kubernetes
Big data
AWS
Bachelor's degree",,"Engineers are responsible for assisting with the architecture design, and building the ETL pipeline of our master data assets."
1218,Materials Data Scientist/Engineer,Nucleus Healthcare,"Estimated: $65,000 - $89,000 a yearQuick Apply","King of Prussia, PA ",Full-time,"Microsoft Excel
SAP
CGMP
FDA regulations
Bachelor's degree",,"Contribute data to protocols and reports for raw material qualification. Compiling data for the specification, testing and sampling of raw materials."
1219,Principal Data and Integration Engineer - Remote,Magellan Health,"Estimated: $100,000 - $150,000 a year","Glen Allen, VA ",Full-time,"Perl
SQL
Shell Scripting
Budgeting
Informatica
Bachelor's degree","Health insurance
Work from home",Ensure data governance and best practice is embraced. Perform rich data visualizations and presentations to senior management on value adds.
