title,company,description,location,salary,is_remote
data scientist,radius global solutions llc,becomes expert in data warehouse and company data sources. 2+ years analyzing data and creating reports. bachelor’s degree with a data/ technical emphasis.,"ambler, pa +2 locations","$80,000 - $100,000 a year",0
"vice president, data science/advanced analytics",wellstone technologies,"expert experience with data pipelines, data tools, and data organization for analytics. lead the data strategy, including data storage, data modeling, data…","bethesda, md","$150,000 - $191,000 a year",0
artificial intelligence engineer,sortera alloys,"this role requires combined expertise in software development, programming, data science and data engineering. a.i. software engineering: 5 years (preferred).","fort wayne, in",$20 - $50 an hour,0
data analyst,cloudpareto,handling large data sets and relational databases. designing and maintaining data schemas and databases. visualizing and presenting data to stakeholders using…,"arlington, va","$80,000 - $110,000 a year",0
machine learning performance engineer,"hireio, inc.","given a reference dnn design, adjust the dnn architecture such that operations or layers that are not supported on the target platform are replaced while…","fremont, ca",$60 - $68 an hour,0
data scientist,sprezzatura management consulting,identifies and integrates external data sets with internal data elements for analysis to understand underlying patterns and trends.,"washington, dc",,0
data engineer,"hala systems, inc","experience building data entry, transformation, and loading pipelines for disparate data types. experience with streaming architectures and patterns, including…",remote,"$100,000 - $115,000 a year",1
data scientist principal,fedex services,experience designing data science solutions whithin a large enterprise solution architecture. demonstrated experience developing and leading the implementation…,tennessee +2 locations,"$9,026 - $14,745 a month",0
statistical data analyst,university of south florida,"master's degree in information technology, computer science, information systems or equivalent field and two years of demonstrated experience with analysis,…","tampa, fl","$60,000 a year",0
data scientist - (secret),eccalon,expertise in communicating complex data insights for those without a data background. the data scientist will engage with senior leaders to identify questions…,"arlington, va",,0
data engineer,wevision llc,"as a data engineer, you bring software engineering best practices to the production and maintenance of analytics code and bring an engineering mindset to…",remote,"$85,495 - $197,669 a year",1
data science graduate research assistant,university of maryland,"vaccine protocol the university of maryland has made the safety of our students, faculty and staff, and our surrounding communities a top priority. as part…","college park, md",,0
data scientist - forecasting & optimization,the farmer's dog,you will brainstorm with our small team of data scientists on modeling and solutions to our problems. leverage our myriad data sources to help friction points…,"new york, ny",,0
nlp machine learning engineer,"luminoso technologies, inc","communication and data presentation skills. establish scalable, efficient, reproducible processes for large scale data analyses and model development.",remote,"$100,000 - $200,000 a year",1
data analytics associate (sas),clarify health solutions.,"being the expert on where data originates, how they are mapped and utilized in our products, and ultimately what value data delivers to our customers.",remote,"$90,000 - $105,000 a year",1
insights and analytics analysts,"converseon, inc.","some technical/data science skills/tableau etc. are helpful. experience with social listening data helpful. heavy digital analytics experience, which can range…","new york, ny",,0
data engineer,digitalent,experience working with large scale streaming and batch data processing applications. experience working with one or more common data analysis frameworks such…,remote,,1
data scientist #: sssi.112/ois,scientific systems and software international corporation,"identifying data needs and proper methods for data gathering, integration, preparation, data quality and data governance. minimum of 7 years of experience with:","baltimore, md","$55,000 - $70,000 a year",0
data analyst (only w2 profiles please),techtrueup,"experience in a data science, data analyst, business analytics, business intelligence or comparable role. ability to communicate and provide meaningful business…",remote,$42 - $44 an hour,1
sr. data scientist,ascent powered by sober grid,the person will have a strong analytical and data science background. we develop products and services with a team of outstanding research and development…,"cleveland, oh",,0
"data scientist, machine learning",carta,you will own significant projects directly aligning with carta's company-wide initiatives of data products and data quality.,"new york, ny +1 location",,0
katabat system administrator for consumer digital collections (remote),citizens,"this role is responsible for programming the collections treatment decision logic in the katabat digital platform, as well as having responsibility for…",alabama +1 location,,0
data analyst,virginia dept of behavioral health & developmental sv,"master’s degree in social science field with emphasis on quantitative and qualitative research and analysis or master’s degree in information technology,…","richmond, va","$60,000 - $80,000 a year",0
information technology analyst,malk partners,"assist in training employees on data privacy and security topics. create, maintain, and enforce internal data privacy and security policies.","new york, ny","$35,622 - $123,824 a year",0
machine learning engineer,morgan stanley,build python based tools to monitor data quality among featuresets used across various models. build python based tools to monitor data quality among…,"alpharetta, ga +1 location",,0
junior machine learning engineer,3m,"design, development, evaluation, deployment and maintenance of data-driven models and analytical solutions for machine learning (ml) and/or natural language (nl…","pittsburgh, pa",,0
"data science and analytics specialist, corporate strategy and cross enterprise programs",delta,"this position will use analytics and data to see around the corner of emerging pockets of demand, growth opportunities, and competitive shifts in support of…","atlanta, ga",,0
global operations data analyst,international baccalaureate,relevant experience in data analysis or data science projects with quick understanding of new technologies. experience optimizing queries with large data sets…,"bethesda, md","$65,000 - $80,000 a year",0
mrm director of artificial intelligence non model review and challenge,citi,"advanced degree (master’s and above) is required in the fields of mathematics, statistics, computer science, engineering, ai/ml, etc.","new york, ny",,0
mid-level data analyst - remote,ciba insurance services,advanced experience pulling large and complex data using sql. experience with a data visualization tool (e.g. ssrs).,remote +1 location,"$85,000 a year",1
head of data science,volastra therapeutics,leverage and oversee external collaborations to further the organizational goals around data science and computation.,"new york, ny",,0
mathematician,ce science,all candidates must be us citizens and possess or be able to obtain a top secret security clearance.,"columbia, md",,0
junior/mid artificial intelligence or machine learning engineer,"simventions, inc",ideal candidates will have 1-5 years of experience in systems or software engineering with some experience with artificial intelligence or machine learning…,"fredericksburg, va",,0
seasonal assistant - (information technology / business intelligence group),"cavaliers holdings, llc",perform basic data calculations and analysis. create new automation solutions for business data needs. the position will assist data-driven initiatives which…,"cleveland, oh",$15 an hour,0
data scientist,winwire technologies,"top 5 must haves: predictive modeling experience, good coding skills (python, sas, or sql),. minimum education requirement: master's degree in quantitative…","irvine, ca","$120,000 - $130,000 a year",0
data scientist i,"knowesis, inc.",enter and analyze data within government systems. experience using statistics and data visualization techniques to provide an accessible way to see and…,"fort bragg, nc +1 location",,0
data scientist - insurance modeling,allstate,can analyze data and review analysis from others and identify and resolve basic data issues. standard knowledge in the use of data sources and applications to…,"northbrook, il","$113,600 a year",0
"director of data science, customer engagement analytics",zillow,be a strong partner with data engineering teams on the data ecosystem and an advocate for the requirements of data scientists and data visualization engineers.,"seattle, wa",,0
data scientist,data patterns,experience using business intelligence tools (e.g. tableau) and data frameworks (e.g. hadoop). proven experience as a data scientist or data analyst.,"dallas, tx","$62,318 - $146,449 a year",0
"data analyst (bi, data science, visualisations)","sharethis, inc","interest in learning applied data science over unstructured data with machine learning, nlp using spark, scala and other cloud native tools.","palo alto, ca",,0
data scientist,source enterprises,"some knowledge of common data science toolkits, such as r, weka, numpy, matlab, etc. stay current on modern trends and advances in data mining technology.","new york, ny",,0
"data scientist, analytics - jobs integrity on marketplace",facebook,apply your expertise in quantitative analysis and data presentation to see beyond the numbers. data science plays a key role in driving both tactical and…,remote +11 locations,,1
data scientist,kaplan,at least 1 year of solid data science industry experience. improving our data engineering and workflow. metis data scientists provide incredible and inspiring…,remote,,1
r data scientist,analytica,"research science experience a plus (not required). ability to work with various data types independently, as well as with a team.","washington, dc",,0
excel data miner sunrise fl 19.25 to 31.25 per hour,the elite team inc,"this is a full time position with benefits! data processing to help with purchasing, e-commerce uploads and different company wide excel tasks.","sunrise, fl",,0
machine learning engineer - qe,verusen,"work closely with front end qe to ensure that high-quality data is presented to customers. understanding of machine learning techniques, data structures,…","atlanta, ga",,0
staff data scientist - ai ethics,indeed,"deploy data science solutions: java, python, c++. 5+ years of recent professional industry experience in data science/software engineering.","denver, co +3 locations","$157,000 - $191,000 a year",0
geospatial data scientist,conserwater technologies,proficiency in processing and interpretation of data from various sar sensors. design sdk & api's for processing geospatial data sets at scale.,remote,"$107,000 - $124,000 a year",1
early career data scientist / analyst / statistical geneticist,data tecnica,"this will focus on running and refining standard analysis, data management and data visualization workflows. scope of research: supporting cloud based analysis…","glen echo, md",,0
"data scientist- ft. bragg, nc",occam solutions,"as well as to integrate as part of a team that will provide advanced analytical knowledge of data on the data science team, with a focus on conducting big data…","fort bragg, nc",,0
staff machine learning engineer ( python ) - remote usa,"fireeye, inc.","develop, and manage data systems to ingest and process data at massive scale. as a machine learning engineer on the data science team, you will design and…","new york, ny +2 locations","$116,800 a year",0
senior data analyst,medely inc.,ability to analyze data and condense data to tell a persuasive story. drive the collection of new data and the refinement of existing data sources.,remote,,1
artificial intelligence trainer - part time/remote,structurely,"prior data entry or data management experience. excel: a data management tool that structurely leverages for data analysis, content management, and more.",remote,,1
data scientist ii,microsoft,interpret results of data experiments and derive meaningful actions and prioritization of opportunities. be self-driven and show ability to deliver on ambiguous…,"redmond, wa +3 locations",,0
data science engineer,opentable,deep understanding of data structures and oo design. our team is looking for someone passionate about machine learning with a strong background in software…,"los angeles, ca +1 location",,0
research and development corporate functions engineer co-op,procter & gamble,"engineers in this field work with 3d digital modeling, material science experts and industrial designers to design and deliver unique and superior packages.","mason, oh",,0
transcribers / data analyst,transperfect translations inc.,we are looking for speakers of several languages to join us on a new innovative and interesting job to improve artificial intelligence (i.e. as speech or text…,remote,,1
regional data analyst,curaleaf,"experience: at least five years hands-on experience in analytics, data science, or management consulting with a proven track record as a data analyst in…","miami, fl",,0
data analyst,gift of life donor program,"clean and prepare data from primary and secondary sources, integrate data from multiple disparate data sources into clinical reporting database.","philadelphia, pa",,0
junior data analyst (data science team),hotschedules,"experience in data mining, analysis, statistics and/or data manipulation is a plus. test business hypotheses using the data.","sofia, nm",,0
statistician,sciome llc,"our clients generate massive amounts of scientific data via varied high throughput technologies, and such projects require systematic analysis of…","research triangle park, nc",$33 - $39 an hour,0
senior data scientist,fandom,6+ years of experience in data science or related. bachelor or master in the field of data science or related. deep knowledge of data visualization.,california,,0
data scientist,trilogy federal,identifies and integrates external data sets with internal data elements for analysis to understand underlying patterns and trends.,"washington, dc",,0
business intelligence (bi) engineer,datascan,"the bi engineer is responsible for helping to extract valuable information out of the data lake using static analysis techniques, including creating data sets…","alpharetta, ga",,0
strategy & insights analyst,81qd,"b.a. or b.s. with academic excellence (preferred discipline in biologic sciences, engineering, biostatistics, marketing, health policy or similar).",remote,,1
machine learning engineer (junior),nexient,"solid with python (basic data structures, coding patterns) along with common data, math and visualization libraries. experience coding with popular frameworks.","columbus, oh +2 locations",,0
senior data analyst (contract),wikimedia foundation,"comfortable working with data-related python and/or r packages for data cleaning and modeling. in this role, you will work with fellow data professionals,…",remote +1 location,"$66,691 - $135,521 a year",1
associate product manager - data science,datarobot,"hands-on data science or predictive analytics experience or advanced degrees in a relevant field (such as statistics, computer science, physics, or similar).",massachusetts,,0
"product manager, monetization machine learning",spotify,"you know how to communicate with partners, as well as working closely with a team of machine learning engineers and data scientists.","new york, ny",,0
staff machine learning engineer,ibotta,knowledge of cloud services (aws preferred) and big data experience. set the standard for machine learning best practices and data-driven decision making.,colorado,"$150,000 - $175,000 a year",0
python developer,pacific gas and electric company,o create and maintain optimal data pipeline architecture. experience developing highly scalable data platform and reliable pipe.,"california, md","$83,910 - $110,152 a year",0
data scientist,emindful,"bring structure to large quantities of data - turn unstructured data into structured data. bachelor’s or master’s degree in computer science, math, economics or…","orlando, fl","$90,000 - $120,000 a year",0
data science project manager,sfl scientific,"manage scope and evaluate priorities to efficiently balance resources for data science projects. in this role, you will work with the data science team to…",remote,"$95,000 - $110,000 a year",1
data scientist,"prosource360 consulting services, inc.",a pums will allow data users to create customized estimates and tables that are not available through pre-tabulated data products.,"alexandria, va",,0
open source intelligence analyst,booz allen hamilton,the problem facing the intelligence community (ic) is no longer how to get more data – it’s understanding how to turn massive amounts of data into answers.,"fort bragg, nc +1 location",,0
principal data scientist - candidate recommendations,indeed,solid knowledge of data structures and algorithms. mentor and grow other software engineers and data scientists across teams.,"washington, dc +5 locations","$187,000 - $231,000 a year",0
senior data analyst,"plaid enterprises, inc,","strong analytical skills with the ability to identify data trends. the sales forecast analyst will review data provided by sales representatives, analyzing and…","norcross, ga",$23 - $28 an hour,0
associate research analyst - data science division,cna,"the dsd provides data science expertise and support to the department of the navy and department of defense. as part of the navy’s only dedicated ffrdc, we use…","arlington, va",,0
mathematical modeler (6 month contract position),synlogic,"the successful candidate will have the opportunity to develop novel tools for strain activity modeling, data visualization, and data interpretation to advance…","cambridge, ma",,0
data analyst,pack health,"3 years of data analysis and/or data science experience in a clinical, industry, academic or life sciences setting. we work hard, have fun, and love what we do.","birmingham, al",,0
data engineer,betterview,building infrastructure to automate data transformations and other data science processes. basic knowledge of data science fundamentals. what you will be doing.,"new york, ny +1 location",,0
data scientist (all levels),iamus consulting,positions support various department of defense customers defensive cyber operations missions with big data analytics and capabilities.,"linthicum heights, md",,0
software engineer,"automated controversy detection, inc",interest in data science and machine learning. experience in data science and machine learning is valued. the ideal candidate will have experience in deploying…,remote,"$75,000 - $100,000 a year",1
r&i data scientist,solvay,gather internal or external data and validate data quality. a minimum of 2 years of data science and ai experience. very good communication skills in english.,"princeton, nj",,0
policy analyst,community service society of new york,"experience with data science software such as stata or spss is required. ability to apply rigorous analysis to complex issues, including strong quantitative…","new york, ny",,0
data scientist,noom us,"we offer a generous budget for personal development expenses like training courses, conferences, and books. you'll get three weeks' paid vacation and a flexible…","new york, ny",,0
staff cybersecurity analyst- fraud,intuit,"trust & safety is a fast-paced, high-energy team responsible for assessing emerging fraud patterns and implementing cutting edge data protection and fraud…","new york, ny +4 locations",,0
life insurance underwriter,risk management,"we are seeking a senior *individual life underwriter* with at least 10 years of experience in all three areas below: job types: full-time, part-time, contract.",remote,$55 - $80 an hour,1
senior data scientist - customer intent analytics (remote - home based worker),allstate,"begin to manage analytical initiatives, develop junior data scientists and communicate analyses with leaders and key business stakeholders.","northbrook, il","$95,000 a year",0
data analyst,babylist,understanding of data warehousing and relational data modeling fundamentals. keen attention to detail and data integrity.,california +1 location,,0
analytics associate,emc research,"strong data visualization, data wrangling, and/or data mining skills using r. the analytics associate will use r to clean, mine, and assess large datasets in…",remote +5 locations,$21 - $25 an hour,1
"clinical quality data science/analytics specialist (ft) kingsport, tn",ballad health,job details apply save print this job email a…,"kingsport, tn +1 location",,0
"data scientist, operations data science",google,"at google, data drives all of our decision-making. articulate business questions and use mathematical techniques to arrive at an answer using data.","mountain view, ca",,0
machine learning engineer,photon infotech,"skill nice to have: cloud (particularly aws) experience. job types: full-time, contract. temporarily due to covid-19.","new york, ny","$125,325 - $227,222 a year",0
statistician (data scientist),us national cemetery administration,"this includes formulating, amending, and verifying theoretical, statistical and empirical models and data from multiple application areas.","washington, dc","$103,690 - $159,286 a year",0
auto & home r&d analyst/statistician ii,farmers insurance group,analyzes information using data manipulation and statistical analysis to evaluate new and existing programs and procedures.,alabama,"$76,500 a year",0
data scientist -- philadelphia,datarobot,4-5+ years of real-world business experience in a data science role. familiarity with data platform technology integrations.,"philadelphia, pa +1 location",,0
data analyst,cerebral,"collaborate with data science, engineering, and business-focused colleagues to inform data and client related decisions, automate data processes, and determine…",texas,,0
"data scientist - instagram, well-being - foundation",facebook,drive strategic organization wide data science initiatives and serve as tech lead on critical data science projects within the well-being’s foundations pillar.,remote +1 location,,1
sr. data scientist/analyst (no corp - corp),cognizance technologies,"ability to analyze and report on complex data. extremely strong hands-on python, r and nlp tools with knowledge in excel & vba skills,.",remote,"$110,000 - $190,000 a year",1
"assistant director, data science; director i (stp), data science",liberty mutual insurance,"proficient with at least one language for data analysis and modeling, such as r, python or sas. understand the competitive marketplace, business issues and data…",remote,"$110,000 - $179,500 a year",1
"manager, analytics and insights - credit card",oportun inc,"6+ years of experience in an analytically-driven role (in analytics, data science, finance, or related fields).",remote,,1
junior software analyst,"modern technology solutions, inc.","provide expertise in data science and analysis techniques, including analyzing and optimizing current historical data sets as well as augmenting or extending…","alexandria, va",,0
data science tutors,nestria,present information using data visualization techniques. undertake preprocessing of structured and unstructured data. combine models through ensemble modeling.,remote,$18 - $125 an hour,1
data scientist,plymouth rock assurance,"performs data mining and data cleansing tasks. solid skills and training in predictive modeling, data mining and other quantitative and research analytics …","woodbridge, nj",,0
associate data engineer,health union llc,"you will champion infrastructure-as-code and test driven development, building out the workings of modern data transformation & data science pipelines.","philadelphia, pa",,0
associate data scientist,"blue cross blue shield of il, mt, nm, ok & tx","associate data scientists create visualizations, interactive analytical applications and interpretive artifacts to support business application of data science…","chicago, il",,0
"manager, shopper insights- ecommerce",the j. m. smucker company,"comfortable with the ambiguous; balancing data science and data art. turn online data into sound e-commerce propositions, recommendations, and activations.",remote,,1
analyst,protagonist,"strong data skills, with an understanding of how to apply data to communications, marketing, and business strategy problems. authorized to work in the us.","san francisco, ca",,0
data scientist (center for disease control & prevention),4es corporation,present information using data visualization techniques. undertake preprocessing of structured and unstructured data. combine models through ensemble modeling.,"atlanta, ga",,0
data scientist,whiterock ai,"knowledge of spark, comfortable with larger scale data. explore new data sources and think of innovative ways to incorporate these into existing and new…","new york, ny",,0
data scientist,radcube,basic understanding of containerization and image management for data science notebooks. interprets data and from multiple sources using a variety of analytical…,"indianapolis, in","$40,000 - $70,000 a year",0
statistical assistant,utofun,"maintain and enter a large dataset of real estate, economic data, and verify data integrity. assist in compute and analyze real estate and economic data by…","manhattan, ny",,0
senior data analyst,steady platform,help drive a data-first culture where data is understood and leveraged in decision making. minimum of 2 years experience (4-6 years preferred) performing…,"atlanta, ga +1 location",,0
data scientist,university of maryland,"vaccine protocol the university of maryland has made the safety of our students, faculty and staff, and our surrounding communities a top priority. as part…","college park, md",,0
economist/statistician,taptap send,2+ yrs’ experience solving problems & informing decision making with real-world data. you’re just as comfortable thinking creatively to approach problems in a…,"new york, ny",,0
machine learning engineer,e source companies llc,"data science life-cycle literacy. the ideal candidate has a bs or ms in a software engineering, computer science, or related field of study.",colorado,"$85,000 - $130,000 a year",0
machine learning researcher,"d. e. shaw & co., l.p.","all types of learning and ai, including deep learning and statistical learning, are potentially relevant.","new york, ny",,0
machine learning engineer,acs,"strong sql and data analysis skills. 3+ years of experience in data/business/technical analysis, strong sql and data analysis skills, excel wizard that dreams…",remote,$39 - $45 an hour,1
data analyst,city of philadelphia,"write sql queries for reporting, etl, and general data analysis. queries range in complexity depending on use case, but often require querying relational data.","philadelphia, pa","$70,000 - $80,000 a year",0
site payment analyst (remote),iqvia,"developments of test scripts and data sets. assist in the preparation of effective data flows (i.e. edc/ixrs systems to iqvia’s ctms)assist in the testing,…","durham, nc",,0
data engineer,medwatchers inc,ability to manage and work with data that involves some complex transformations. successful applicants will work on data and applications to support pharmacists…,"san diego, ca","$80,000 - $120,000 a year",0
sr. operations data analyst,radiology partners,"use sql to pull, clean, and filter data for analysis. radiology partners is seeking a sr. analyst responsible for providing analyses that support the director…",remote,,1
"entry-level data positions (data engineer, machine learning & visualization)",citi,"here, you will scale our data science models into production-level applications. our data & analytics team makes all of that possible, whether it’s getting data…","irving, tx",,0
entry level data scientist,toyota connected north america,perform data analysis and derive meaningful insights from a variety of data sources. we're looking for an entry level data scientist interested in using data…,"plano, tx",,0
data & ai specialist,microsoft,you will work with customers to leverage data to help them achieve their business priorities and help guide customer’s journey through analytics-led azure data…,"new york, ny",,0
statistician,sprezzatura management consulting,collect data from internal or external sources to create additional reporting sources within the data warehouse. experience in admissions is preferred.,"washington, dc",,0
ecom data engineer associate,pepsico,in this role you will have several distinct responsibilities and priorities: build new technologies and algorithms to optimize business processes apply…,"new york, ny",,0
quantitative researcher,seven eight capital,"strong research skills, preference for research applied to large financial data sets. bs / ms from top tier university with a focus on statistics / applied math…","new york, ny",,0
data scientist,pivotal software,"2+ years of work in a data-centric field (data science or data engineering). we emphasize rigor, because data science done right at this stage leads to models…","washington, dc",,0
medical data manager,duke university,"the responsibilities will include management of regulatory protocols (irb), acquisition of medical imaging and other data from medical records at duke…","durham, nc","$35,000 - $70,000 a year",0
data analyst,deloitte,the data analyst will join a team responsible for developing advanced analytics products; applying data visualization and statistical programming tools to…,"alexandria, va +1 location",,0
data science associate,the urban institute,"lead projects that use innovative data science methods (such as open source programming, machine learning; data linkage; statistical analysis; and big data…","washington, dc",,0
data scientist,datatron technologies,insight into how the operational realities of data science can be better managed and accelerated. validated multiple forms of structured and unstructured data…,missouri +2 locations,,0
"associate, data scientist i",abbvie,"expertise with developing, implementing and deploying ml and deep learning programs and computational solutions employing data science techniques.","lake county, il",,0
data management analyst,oneglobe llc,work on all project related data requests. enforces good data quality principles in all activities. experience working with project teams to define data…,"washington, dc",,0
data science specialist,accenture,foster the adoption of nlp and data science across research teams. collaborate with all data science team members to facilitate knowledge sharing and cross…,"atlanta, ga +3 locations",,0
data analyst,mbcc group,"acquire data from primary or secondary data sources and maintain databases/data systems. technical expertise regarding data models, database design development,…","beachwood, oh",,0
data science associate,k12 services,"experience and training in data science. the position participates as a member of the data science team in identifying and analyzing school data, proprietary…",remote,,1
survey data analyst,change research,work with our data science and engineering teams to surface deep insights on voter behavior. at least one cycle or year of experience in politics or social…,"san francisco, ca","$6,000 - $8,500 a month",0
data strategy coordinator,triangle j council of governments,"required: a bachelor’s degree in data science, quantitative social sciences, planning, geography, statistics, or related field is required, with considerable…","durham, nc","$53,086 - $55,740 a year",0
data engineer i,xsolis,develop knowledge on healthcare data and its schema as persisted in ds databases and perform data analysis to support data quality.,"nashville, tn",,0
python developer,adept consultants,developing highly scalable data platform and reliable pipe. o create and maintain optimal data pipeline architecture. must have* : r language skills.,"california city, ca","$70,867 - $122,727 a year",0
developmental data scientist,booz allen hamilton,"ability to pursue a career in data science. you’ll learn how to write scripts to integrate data, conduct exploratory data analysis to discover hidden trends,…","mclean, va",,0
data linguist-i,amazon.com services llc,deliver high quality data output under aggressive deadlines covering unique data analysis requests from a range of customers. business level fluency in english.,"cambridge, ma",,0
data scientist,betterview,solid technical and data science foundation. evaluate data sources for accuracy and potential to augment betterview's existing data catalog.,"new york, ny",,0
data scientist,harvest nyc,"15 years worth of data excites you. develop an understanding of how data moves through harvest. munge data, analyze and interpret results to provide both ad-hoc…",remote,,1
analytics consultant,springml,"2-3 years of experience in business analytics, data science, or consulting in these fields. b.s. or equivalent degree in computer science, statistics,…","indianapolis, in",,0
reimbursement analyst/contract modeler,salud revenue partners,"communicate status of projects and future goals to ceo, data science team, and client teams. as part of salud’s data science division, this position will work…",remote,,1
operations data analyst,lockheed martin corporation,experience developing data visualizations that provide actionable insight. experience developing analytics solutions utilizing complex data sets.,"orlando, fl",,0
data engineer - machine learning,fanduel,develop scalable solutions with the focus of productionizing data science team ml model portfolio. effectively partner with applied data scientists and lay…,"atlanta, ga",,0
junior data scientist,decode_m,"transform data and insights into compelling and creative visualizations. you have experience using applied statistics, and you’re comfortable working with…","new york, ny",,0
senior operations data analyst,coinbase,"expert sql skills, data modeling, python experience a plus. develop and support the analytical technologies that give our team timely, flexible, and structured…",remote,,1
statistician,precision consulting,"all statisticians must have or be actively pursuing graduate degrees in statistics, applied math, data analytics, or a similar field as well as relevant…","new york, ny",,0
data mentor (part time),pathrise,helping fellows optimize everything from their resumes to data science projects. 3+ years of experience in the technology industry or in a related field as a…,remote,,1
"mgr, data science",cedent,"develop data science project plans, manage deliverables, and measure roi for data science initiatives. lead the development of data science and analytics…","tampa, fl",,0
data scientists,inbox america consulting services,build data visualizations to communicate our models outputs to external clients. design and model predictive analytics models.,"alexandria, va",,0
data analyst with sql and tableau exp,surya systems,"write and edit sql code to ensure data is pulled optimally. serve as subject matter expert (sme) for business data, systems and processes under teams area of…","blue bell, pa",,0
senior data science manager - monetization science,indeed,"passion to answer product/engineering questions with data. can fish for data: sql, pandas, mongodb. can do big data modeling work: hadoop, pig, scala, spark.",remote,"$187,000 - $231,000 a year",1
data scientist,national security agency,"candidates for the nsa's data scientist roles are asked to complete a data science examination evaluating their knowledge of statistics, mathematics, and…","fort meade, md","$103,690 - $159,286 a year",0
"vice president, product management, machine learning",google,"undergraduate degree in computer science or other relevant discipline or equivalent practice experience. 20 years of experience, including 10 years in the full…","new york, ny",,0
associate statistical programmer,pfizer,will be learning in the space of programming and data standards. this role is a hands on statistical programmer supporting study and asset teams in the delivery…,"collegeville, pa",,0
data architect,atlas executive consulting,"experience developing and maintaining enterprise-level, scalable data stores and data access platforms supporting analytics and data science solutions.","north charleston, sc +1 location","$120,000 a year",0
data scientist - full-time campus hire,"two sigma investments, llc.",develop a deep understanding of the application of empirical methods and data science to challenging applied prediction problems. proficient in python and sql.,"new york, ny",,0
business analyst,kaplan,the business analyst’s role is focused on managing the offering setup process and assisting with the content delivery work that is necessary to release content…,remote,"$31,200 a year",1
associate data scientist,urgently,"develop proof-of-concept ideas using data, data science and human behavior to improve our business processes. measure the impact of the improvement.",united states,,0
senior data analyst,hiatus,work with engineering in pursuit of better data modeling and data quality. bigquery for warehousing our data. sql and python for crunching data.,remote,"$120,000 - $200,000 a year",1
data scientist,garner health,bonus for experience with data architecture. administer databases and data pipelines in a quickly evolving system.,remote,,1
associate - risk modeling,"jpmorgan chase bank, n.a.",model risk governance & review (mrgr) is a corporate risk team within jpmc with the responsibility for developing and implementing the firm's estimation risk…,"brooklyn, ny",,0
sr. data analyst - risk assessment - ny,"katapult group, inc.",influence risk strategy and prioritization through data. 3+ years of professional experience in data analytics or a related field. experience in a/b testing.,"new york, ny",,0
full time opportunities for phd students or recent graduates – maidap data scientist,microsoft,"take responsibility for preparing data for analysis, review data preparation/etl code and provide critical feedback on issues of data integrity.","cambridge, ma",,0
"data analyst, data services",mmit network,"experience analyzing large healthcare data sets, such as claims and formulary coverage data, and synthesize patterns into actionable feedback to product and…","yardley, pa",,0
contract data scientist,the lifetime value co.,create compelling visualizations and presentations of data to drive the ideation and development of our data studies. ability to tell a story using data.,remote,,1
data analyst,bae systems,background in visualizing/presenting data for stakeholders and knowledge of data visualization tools. this position will provide the analyst with an opportunity…,"korea, va +5 locations",,0
sr. business system analyst - (remote),compugra systems inc,define metrics to measure the quality of data and overall effectiveness of the data governance program over time partner with the data engineering and data…,remote,$50 - $55 an hour,1
data architect,red cedar consultancy llc,create enterprise information/data views. provide enterprise information/data management support; provide strategic information and data/architectural service.,"mclean, va",,0
people analytics analyst,state farm,apply data visualization techniques to support alignment and integration of data driven decisions with stakeholders across hr&d.,"atlanta, ga",,0
data science manager,the ihc group,"manage data science team and support multiple projects collaboratively. 3+ years of experience in a data science role, building predictive algorithms and data…","philadelphia, pa","$135,000 - $140,000 a year",0
data engineer,united solutions llc,"this role will have a deep understanding of data architecture, data engineering, data analysis, reporting, and a basic understanding of data science techniques…","rockville, md","$50,000 - $130,000 a year",0
data scientist- cloud pak for security,ibm,"in ibm security, you can access security data on a global scale. experience in open source machine, and deep learning frameworks, model validation and…","sandy springs, ga",,0
data engineer,imprivata,"this engineer will deploy production ai functionality, and will help run data-science experiments at scale. the role will work closely with our data scientists…","clearwater, fl",,0
"data analyst/scientist, smart bases and communities",us ignite,"proficient in data workflows, data collection methodologies, and data analysis. work on data modeling, discovering insights and identifying opportunities…","washington, dc","$65,000 - $85,000 a year",0
"data scientist, junior",booz allen hamilton,"participate in partnerships with data science leaders, like our partnership with nvidia to deliver deep learning institute (dli) training to the federal…","san antonio, tx +4 locations",,0
data science manager,"surfline\wavetrak, inc.",an experienced engineer with data science experience. a thorough understanding of the challenges of building ml pipelines with large data sets and taking these…,remote,,1
junior data scientist,cfsb,"query, analyze and model transactional data from operational databases, internal data-stores, and data warehouses.","new york, ny",,0
educational data scientist,great hearts academies,proficiency in visualization tools and packages; and in communicating data science topics to non-technical audience is a requirement.,"san antonio, tx",,0
jr. data scientist,shi international corp.,experience with most phases of a data science project: the jr. data scientist is passionate about using data science to achieve business success and inform…,"somerset, nj",,0
economic financial analyst,"goodwill industries of the southern piedmont, inc.","acquires data from primary or secondary data sources and maintain databases/data systems. gathers business data requirements to identify, analyze, and interpret…","charlotte, nc",,0
"data engineer, operations decision science",delta,define and execute the data engineering roadmap (e.g. establish an operational data lake and a real-time reporting environment for the operations).,"atlanta, ga",,0
staff data scientist,instacart,enable objective decision making across the company by democratizing data through dashboards and other analytical tools.,california,,0
artificial intelligence/machine learning engineer,rigil corporation,"leads, designs, develops, tests and implements applications and system components, tools and utilities, models, simulation, and analytics to manage complex…","washington, dc",,0
